#front|back
<h1>生活</h1>|<div class='reading'>せいかつ</div><br><hr><div class='tags'>n-vs-vi</div><br><div class='definition'>* life</div><br><div class='definition'>* living</div><br><br><div class='tags'>n</div><br><div class='definition'>* livelihood</div><br><div class='definition'>* (one's) living</div><br><br>
<h1>多少</h1>|<div class='reading'>たしょう</div><br><hr><div class='tags'>adv-adj-no</div><br><div class='definition'>* a little</div><br><div class='definition'>* some</div><br><div class='definition'>* somewhat</div><br><div class='definition'>* slightly</div><br><div class='definition'>* to some degree</div><br><div class='definition'>* to some extent</div><br><br><div class='tags'>n</div><br><div class='definition'>* amount</div><br><div class='definition'>* quantity</div><br><div class='definition'>* number</div><br><br>
<h1>生産地</h1>|<div class='reading'>せいさんち</div><br><hr><div class='tags'>n</div><br><div class='definition'>* producing area</div><br><br>
<h1>手術</h1>|<div class='reading'>しゅじゅつ</div><br><div class='reading'>しゅずつ</div><br><hr><div class='tags'>n-vs</div><br><div class='definition'>* surgery</div><br><div class='definition'>* operation</div><br><div class='definition'>* procedure</div><br><br><div class='tags'>obs-n-vs</div><br><div class='definition'>* skill with one's hands</div><br><div class='definition'>* sleight of hand</div><br><br>
<h1>補聴器</h1>|<div class='reading'>ほちょうき</div><br><hr><div class='tags'>n</div><br><div class='definition'>* hearing aid</div><br><br>
<h1>開発</h1>|<div class='reading'>かいはつ</div><br><div class='reading'>かいほつ</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* development</div><br><div class='definition'>* exploitation (of resources)</div><br><br>
<h1>へた</h1>|<div class='reading'>へた</div><br><hr><div class='tags'>uk-zool-n</div><br><div class='definition'>* operculum (of a shellfish)</div><br><br><br><div class='reading'>へた</div><br><div class='reading'>ヘタ</div><br><hr><div class='tags'>adj-na-n</div><br><div class='definition'>* unskillful</div><br><div class='definition'>* poor</div><br><div class='definition'>* awkward</div><br><br><div class='tags'>adj-na-n</div><br><div class='definition'>* imprudent</div><br><div class='definition'>* untactful</div><br><br><br><div class='reading'>へた</div><br><div class='reading'>ほぞ</div><br><hr><div class='tags'>uk-bot-n</div><br><div class='definition'>* calyx</div><br><br>
<h1>応じる</h1>|<div class='reading'>おうじる</div><br><hr><div class='tags'>v1-vi</div><br><div class='definition'>* to respond</div><br><div class='definition'>* to satisfy</div><br><div class='definition'>* to accept</div><br><div class='definition'>* to comply with</div><br><div class='definition'>* to apply for</div><br><br>
<h1>傷つける</h1>|<div class='reading'>きずつける</div><br><hr><div class='tags'>v1-vt</div><br><div class='definition'>* to wound</div><br><div class='definition'>* to injure</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to hurt someone's feelings (pride, etc.)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to damage</div><br><div class='definition'>* to chip</div><br><div class='definition'>* to scratch</div><br><br>
<h1>観察</h1>|<div class='reading'>かんさつ</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* observation</div><br><div class='definition'>* survey</div><br><div class='definition'>* watching</div><br><br>
<h1>けん玉</h1>|<div class='reading'>けんだま</div><br><hr><div class='tags'>n</div><br><div class='definition'>* kendama</div><br><div class='definition'>* Japanese bilboquet (cup-and-ball game)</div><br><br>
<h1>親友</h1>|<div class='reading'>しんゆう</div><br><hr><div class='tags'>n</div><br><div class='definition'>* close friend</div><br><div class='definition'>* bosom friend</div><br><div class='definition'>* buddy</div><br><div class='definition'>* crony</div><br><div class='definition'>* chum</div><br><br>
<h1>当選者</h1>|<div class='reading'>とうせんしゃ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* successful candidate</div><br><br><div class='tags'>n</div><br><div class='definition'>* prizewinner</div><br><br>
<h1>批判</h1>|<div class='reading'>ひはん</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* criticism</div><br><div class='definition'>* judgement</div><br><div class='definition'>* judgment</div><br><div class='definition'>* comment</div><br><br>
<h1>立ち直る</h1>|<div class='reading'>たちなおる</div><br><hr><div class='tags'>v5r-vi</div><br><div class='definition'>* to regain one's footing</div><br><div class='definition'>* to get back on one's feet</div><br><br><div class='tags'>v5r-vi</div><br><div class='definition'>* to recover</div><br><div class='definition'>* (of the market) to improve</div><br><br>
<h1>記録</h1>|<div class='reading'>きろく</div><br><hr><div class='tags'>n</div><br><div class='definition'>* record</div><br><div class='definition'>* minutes</div><br><div class='definition'>* document</div><br><br><div class='tags'>n</div><br><div class='definition'>* record (e.g. in sports)</div><br><div class='definition'>* results</div><br><div class='definition'>* score</div><br><br><div class='tags'>vs-vt</div><br><div class='definition'>* to record</div><br><div class='definition'>* to document</div><br><br><div class='tags'>vs-vt</div><br><div class='definition'>* to set a record (e.g. in sports)</div><br><div class='definition'>* to show a result</div><br><div class='definition'>* to reach a value</div><br><br>
<h1>山口</h1>|<div class='reading'>やまぐち</div><br><hr><div class='tags'>n</div><br><div class='definition'>* Yamaguchi (city, prefecture)</div><br><br>
<h1>議論</h1>|<div class='reading'>ぎろん</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* argument</div><br><div class='definition'>* discussion</div><br><div class='definition'>* dispute</div><br><div class='definition'>* controversy</div><br><br>
<h1>差</h1>|<div class='reading'>さし</div><br><div class='reading'>サシ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* between (e.g. two people)</div><br><div class='definition'>* face to face</div><br><br><div class='tags'>n</div><br><div class='definition'>* hindrance</div><br><div class='definition'>* impediment</div><br><br><div class='tags'>uk-music-n</div><br><div class='definition'>* arrhythmic section of recitative in noh music</div><br><br><div class='tags'>hanaf-mahj-n</div><br><div class='definition'>* playing with only 2 players</div><br><br><div class='tags'>pref</div><br><div class='definition'>* prefix used for stress or emphasis</div><br><br><div class='tags'>ctr</div><br><div class='definition'>* counter for traditional dance songs</div><br><br><br><div class='reading'>さ</div><br><hr><div class='tags'>n-n-suf</div><br><div class='definition'>* difference</div><br><div class='definition'>* variation</div><br><br><div class='tags'>math-n</div><br><div class='definition'>* difference</div><br><br>
<h1>範囲</h1>|<div class='reading'>はんい</div><br><hr><div class='tags'>n</div><br><div class='definition'>* extent</div><br><div class='definition'>* scope</div><br><div class='definition'>* sphere</div><br><div class='definition'>* range</div><br><div class='definition'>* span</div><br><br>
<h1>巨人</h1>|<div class='reading'>きょじん</div><br><hr><div class='tags'>n</div><br><div class='definition'>* giant</div><br><div class='definition'>* great man</div><br><br><div class='tags'>abbr-n</div><br><div class='definition'>* Tokyo Giants (baseball team)</div><br><br>
<h1>知事</h1>|<div class='reading'>ちじ</div><br><hr><div class='tags'>n-adj-no</div><br><div class='definition'>* prefectural governor</div><br><br>
<h1>才能</h1>|<div class='reading'>さいのう</div><br><hr><div class='tags'>n</div><br><div class='definition'>* talent</div><br><div class='definition'>* ability</div><br><br>
<h1>監督</h1>|<div class='reading'>かんとく</div><br><hr><div class='tags'>n-vs-adj-no</div><br><div class='definition'>* supervision</div><br><div class='definition'>* control</div><br><div class='definition'>* superintendence</div><br><div class='definition'>* direction</div><br><br><div class='tags'>n</div><br><div class='definition'>* director</div><br><div class='definition'>* superintendent</div><br><div class='definition'>* supervisor</div><br><div class='definition'>* coach</div><br><div class='definition'>* foreman</div><br><div class='definition'>* manager</div><br><div class='definition'>* overseer</div><br><div class='definition'>* controller</div><br><div class='definition'>* boss</div><br><br>
<h1>保育園</h1>|<div class='reading'>ほいくえん</div><br><hr><div class='tags'>n</div><br><div class='definition'>* nursery school</div><br><div class='definition'>* day nursery</div><br><div class='definition'>* preschool</div><br><br>
<h1>一通</h1>|<div class='reading'>いっつう</div><br><hr><div class='tags'>n</div><br><div class='definition'>* one copy (of a document)</div><br><div class='definition'>* one letter</div><br><br><div class='tags'>abbr-n</div><br><div class='definition'>* one-way traffic</div><br><br><div class='tags'>abbr-mahj-n</div><br><div class='definition'>* pure straight</div><br><div class='definition'>* winning hand containing nine consecutive tiles of the same suit (i.e. 1-9)</div><br><br>
<h1>生年</h1>|<div class='reading'>せいねん</div><br><div class='reading'>しょうねん</div><br><hr><div class='tags'>n</div><br><div class='definition'>* year of a person's birth</div><br><br><div class='tags'>n-n-pref</div><br><div class='definition'>* number of years since one's birth</div><br><div class='definition'>* age</div><br><br>
<h1>暴走</h1>|<div class='reading'>ぼうそう</div><br><hr><div class='tags'>n-vs-vi</div><br><div class='definition'>* acting rashly</div><br><div class='definition'>* running wildly</div><br><div class='definition'>* behaving recklessly</div><br><div class='definition'>* reckless driving</div><br><div class='definition'>* rampage</div><br><br><div class='tags'>engr-n-vs-vi</div><br><div class='definition'>* runaway (process)</div><br><br><div class='tags'>baseb-n-vs-vi</div><br><div class='definition'>* reckless baserunning</div><br><br>
<h1>被害</h1>|<div class='reading'>ひがい</div><br><hr><div class='tags'>n</div><br><div class='definition'>* (suffering) damage</div><br><div class='definition'>* injury</div><br><div class='definition'>* harm</div><br><br>
<h1>書類</h1>|<div class='reading'>しょるい</div><br><hr><div class='tags'>n</div><br><div class='definition'>* document</div><br><div class='definition'>* papers</div><br><br>
<h1>順番</h1>|<div class='reading'>じゅんばん</div><br><hr><div class='tags'>n</div><br><div class='definition'>* turn (in line)</div><br><div class='definition'>* order of things</div><br><div class='definition'>* sequential order</div><br><br>
<h1>影響</h1>|<div class='reading'>えいきょう</div><br><hr><div class='tags'>n-vs-vi</div><br><div class='definition'>* influence</div><br><div class='definition'>* effect</div><br><div class='definition'>* impact</div><br><br>
<h1>娘</h1>|<div class='reading'>むすめ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* daughter</div><br><br><div class='tags'>n</div><br><div class='definition'>* girl (i.e. a young, unmarried woman)</div><br><br><br><div class='reading'>じょう</div><br><hr><div class='tags'>n</div><br><div class='definition'>* unmarried woman</div><br><br><div class='tags'>n-suf</div><br><div class='definition'>* Miss</div><br><br><div class='tags'>n-suf</div><br><div class='definition'>* -ess</div><br><div class='definition'>* -ette</div><br><br>
<h1>見直す</h1>|<div class='reading'>みなおす</div><br><hr><div class='tags'>v5s-vt</div><br><div class='definition'>* to look at again</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to re-examine (policy, estimate, plan, etc.)</div><br><div class='definition'>* to review</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to get a better opinion of</div><br><div class='definition'>* to see in a more positive light</div><br><br><div class='tags'>v5s-vi</div><br><div class='definition'>* to improve</div><br><div class='definition'>* to recover (market, illness, etc.)</div><br><br>
<h1>お礼</h1>|<div class='reading'>おれい</div><br><div class='reading'>おんれい</div><br><hr><div class='tags'>pol-n</div><br><div class='definition'>* thanks</div><br><div class='definition'>* gratitude</div><br><br><div class='tags'>pol-n</div><br><div class='definition'>* manners</div><br><div class='definition'>* etiquette</div><br><br><div class='tags'>pol-n</div><br><div class='definition'>* bow</div><br><br><div class='tags'>pol-n</div><br><div class='definition'>* reward</div><br><div class='definition'>* gift</div><br><br><div class='tags'>pol-n</div><br><div class='definition'>* ceremony</div><br><div class='definition'>* ritual</div><br><br>
<h1>助産師</h1>|<div class='reading'>じょさんし</div><br><hr><div class='tags'>n</div><br><div class='definition'>* midwife</div><br><br>
<h1>一粒</h1>|<div class='reading'>ひとつぶ</div><br><div class='reading'>いちりゅう</div><br><hr><div class='tags'>n</div><br><div class='definition'>* one grain</div><br><div class='definition'>* one drop</div><br><div class='definition'>* one bead</div><br><br>
<h1>茶碗</h1>|<div class='reading'>ちゃわん</div><br><hr><div class='tags'>n</div><br><div class='definition'>* rice bowl</div><br><div class='definition'>* tea cup</div><br><div class='definition'>* teacup</div><br><br>
<h1>仕入れる</h1>|<div class='reading'>しいれる</div><br><hr><div class='tags'>v1-vt</div><br><div class='definition'>* to lay in stock</div><br><div class='definition'>* to replenish stock</div><br><div class='definition'>* to procure</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to learn</div><br><div class='definition'>* to find out</div><br><div class='definition'>* to take in</div><br><br>
<h1>弁護士</h1>|<div class='reading'>べんごし</div><br><hr><div class='tags'>n</div><br><div class='definition'>* lawyer</div><br><div class='definition'>* attorney</div><br><br>
<h1>髪の毛</h1>|<div class='reading'>かみのけ</div><br><hr><div class='tags'>exp-n</div><br><div class='definition'>* hair (of the head)</div><br><br>
<h1>貯金</h1>|<div class='reading'>ちょきん</div><br><hr><div class='tags'>n-vs</div><br><div class='definition'>* putting money aside</div><br><div class='definition'>* savings</div><br><div class='definition'>* deposit (e.g. in a bank)</div><br><br><div class='tags'>baseb-n-vs</div><br><div class='definition'>* accumulated surplus of wins</div><br><div class='definition'>* wins in the bank</div><br><br>
<h1>妬み</h1>|<div class='reading'>そねみ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* jealousy</div><br><div class='definition'>* envy</div><br><br><br><div class='reading'>ねたみ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* jealousy</div><br><div class='definition'>* envy</div><br><br>
<h1>ため息</h1>|<div class='reading'>ためいき</div><br><hr><div class='tags'>n</div><br><div class='definition'>* sigh</div><br><br>
<h1>芸術</h1>|<div class='reading'>げいじゅつ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* art</div><br><div class='definition'>* the arts</div><br><br>
<h1>承認</h1>|<div class='reading'>しょうにん</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* recognition</div><br><div class='definition'>* acknowledgement</div><br><div class='definition'>* acknowledgment</div><br><div class='definition'>* approval</div><br><div class='definition'>* consent</div><br><div class='definition'>* agreement</div><br><br>
<h1>安定</h1>|<div class='reading'>あんてい</div><br><hr><div class='tags'>n-vs-vi</div><br><div class='definition'>* stability</div><br><div class='definition'>* steadiness</div><br><div class='definition'>* consistency</div><br><div class='definition'>* equilibrium</div><br><div class='definition'>* balance</div><br><div class='definition'>* composure</div><br><br><div class='tags'>physics-chem-adj-na-n-vs-vi</div><br><div class='definition'>* stable</div><br><br>
<h1>歓迎</h1>|<div class='reading'>かんげい</div><br><hr><div class='tags'>n-vs-vt-adj-no</div><br><div class='definition'>* welcome</div><br><div class='definition'>* reception</div><br><br>
<h1>反則</h1>|<div class='reading'>はんそく</div><br><hr><div class='tags'>sports-n-vs-vi</div><br><div class='definition'>* foul</div><br><div class='definition'>* breaking the rules</div><br><br><div class='tags'>n-vs-vi</div><br><div class='definition'>* violation (of the law, regulations, etc.)</div><br><div class='definition'>* infringement</div><br><div class='definition'>* breach</div><br><div class='definition'>* infraction</div><br><br>
<h1>大工</h1>|<div class='reading'>だいく</div><br><hr><div class='tags'>n</div><br><div class='definition'>* carpenter</div><br><br>
<h1>表示</h1>|<div class='reading'>ひょうじ</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* indication</div><br><div class='definition'>* expression</div><br><div class='definition'>* showing</div><br><div class='definition'>* manifestation</div><br><div class='definition'>* demonstration</div><br><br><div class='tags'>comp-n-vs-vt</div><br><div class='definition'>* display</div><br><div class='definition'>* displaying</div><br><br><div class='tags'>physics-n-vs-vt</div><br><div class='definition'>* representation</div><br><br><div class='tags'>law-n-vs-vt</div><br><div class='definition'>* (copyright) attribution</div><br><br>
<h1>巨大</h1>|<div class='reading'>きょだい</div><br><hr><div class='tags'>adj-na-n</div><br><div class='definition'>* huge</div><br><div class='definition'>* gigantic</div><br><div class='definition'>* enormous</div><br><br>
<h1>世紀</h1>|<div class='reading'>せいき</div><br><hr><div class='tags'>n</div><br><div class='definition'>* century</div><br><br><div class='tags'>n</div><br><div class='definition'>* era</div><br><br><div class='tags'>adj-no</div><br><div class='definition'>* of the century (e.g. fight of the century)</div><br><br>
<h1>略</h1>|<div class='reading'>りゃく</div><br><hr><div class='tags'>n-n-suf</div><br><div class='definition'>* abbreviation</div><br><div class='definition'>* omission</div><br><br><div class='tags'>n</div><br><div class='definition'>* outline</div><br><div class='definition'>* gist</div><br><br><div class='tags'>n</div><br><div class='definition'>* plan</div><br><div class='definition'>* strategy</div><br><div class='definition'>* scheme</div><br><br><br><div class='reading'>ほぼ</div><br><hr><div class='tags'>uk-adv</div><br><div class='definition'>* almost</div><br><div class='definition'>* roughly</div><br><div class='definition'>* approximately</div><br><div class='definition'>* about</div><br><div class='definition'>* around</div><br><br>
<h1>洋服</h1>|<div class='reading'>ようふく</div><br><hr><div class='tags'>n</div><br><div class='definition'>* Western-style clothes (cf. traditional Japanese clothes)</div><br><br>
<h1>親切さ</h1>|No data available. Sorry :(
<h1>周囲</h1>|<div class='reading'>しゅうい</div><br><hr><div class='tags'>n-adj-no</div><br><div class='definition'>* surroundings</div><br><div class='definition'>* environs</div><br><br><div class='tags'>n-adj-no</div><br><div class='definition'>* circumference</div><br><br>
<h1>免許</h1>|<div class='reading'>めんきょ</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* license</div><br><div class='definition'>* licence</div><br><div class='definition'>* permission</div><br><div class='definition'>* permit</div><br><div class='definition'>* certificate</div><br><br>
<h1>大盛り</h1>|<div class='reading'>おおもり</div><br><hr><div class='tags'>n</div><br><div class='definition'>* large serving</div><br><div class='definition'>* large portion</div><br><br>
<h1>資源</h1>|<div class='reading'>しげん</div><br><hr><div class='tags'>n</div><br><div class='definition'>* resources</div><br><br>
<h1>豊富</h1>|<div class='reading'>ほうふ</div><br><hr><div class='tags'>adj-na-n</div><br><div class='definition'>* abundant</div><br><div class='definition'>* plentiful</div><br><div class='definition'>* rich</div><br><div class='definition'>* ample</div><br><br>
<h1>中心</h1>|<div class='reading'>なかご</div><br><hr><div class='tags'>n</div><br><div class='definition'>* core</div><br><br><div class='tags'>n</div><br><div class='definition'>* tang (of a sword, etc.)</div><br><br><div class='tags'>n</div><br><div class='definition'>* middle of a nest of boxes</div><br><br><br><div class='reading'>ちゅうしん</div><br><hr><div class='tags'>n-adj-no</div><br><div class='definition'>* center</div><br><div class='definition'>* centre</div><br><div class='definition'>* middle</div><br><div class='definition'>* heart</div><br><div class='definition'>* core</div><br><div class='definition'>* focus</div><br><div class='definition'>* pivot</div><br><div class='definition'>* emphasis</div><br><div class='definition'>* balance</div><br><br><div class='tags'>suf</div><br><div class='definition'>* -centered</div><br><div class='definition'>* -centred</div><br><div class='definition'>* -focused</div><br><div class='definition'>* -oriented</div><br><div class='definition'>* centered on</div><br><div class='definition'>* focused on</div><br><br>
<h1>天皇</h1>|<div class='reading'>すめらぎ</div><br><div class='reading'>すめろぎ</div><br><div class='reading'>すべらぎ</div><br><div class='reading'>すめらき</div><br><hr><div class='tags'>arch-n</div><br><div class='definition'>* Emperor of Japan</div><br><br><br><div class='reading'>すめらみこと</div><br><div class='reading'>すべらみこと</div><br><hr><div class='tags'>hon-arch-n</div><br><div class='definition'>* Emperor of Japan</div><br><br><br><div class='reading'>てんのう</div><br><hr><div class='tags'>n</div><br><div class='definition'>* Emperor of Japan</div><br><br>
<h1>因る</h1>|<div class='reading'>よる</div><br><hr><div class='tags'>uk-v5r-vi</div><br><div class='definition'>* to be due to</div><br><div class='definition'>* to be caused by</div><br><br><div class='tags'>uk-v5r-vi</div><br><div class='definition'>* to depend on</div><br><div class='definition'>* to turn on</div><br><br><div class='tags'>uk-v5r-vi</div><br><div class='definition'>* to be based on</div><br><div class='definition'>* to come from</div><br><br><div class='tags'>uk-v5r-vi</div><br><div class='definition'>* to be based at (a location, an organization)</div><br><div class='definition'>* to be headquartered at</div><br><br>
<h1>ふれあい</h1>|<div class='reading'>ふれあい</div><br><hr><div class='tags'>uk-n-adj-f</div><br><div class='definition'>* contact</div><br><div class='definition'>* connectedness</div><br><div class='definition'>* rapport</div><br><div class='definition'>* mutual touching</div><br><br>
<h1>教科書</h1>|<div class='reading'>きょうかしょ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* textbook</div><br><div class='definition'>* coursebook</div><br><div class='definition'>* schoolbook</div><br><br>
<h1>国際</h1>|<div class='reading'>こくさい</div><br><hr><div class='tags'>adj-no-n</div><br><div class='definition'>* international</div><br><br><div class='tags'>obs-n</div><br><div class='definition'>* diplomatic intercourse</div><br><br>
<h1>現在</h1>|<div class='reading'>げんざい</div><br><hr><div class='tags'>n-adv-adj-no</div><br><div class='definition'>* the present</div><br><div class='definition'>* present time</div><br><div class='definition'>* now</div><br><br><div class='tags'>n-suf</div><br><div class='definition'>* as of</div><br><br><div class='tags'>gramm-n</div><br><div class='definition'>* present tense</div><br><br><div class='tags'>Buddh-n</div><br><div class='definition'>* this world</div><br><div class='definition'>* this life</div><br><br><div class='tags'>vs</div><br><div class='definition'>* to actually exist</div><br><div class='definition'>* to exist right now</div><br><div class='definition'>* to exist right in front of one</div><br><br>
<h1>飴</h1>|<div class='reading'>たがね</div><br><hr><div class='tags'>arch-n</div><br><div class='definition'>* confection (e.g. candy, mochi)</div><br><div class='definition'>* sweet</div><br><br><br><div class='reading'>あめ</div><br><hr><div class='tags'>food-n</div><br><div class='definition'>* (hard) candy</div><br><div class='definition'>* toffee</div><br><br><div class='tags'>food-n</div><br><div class='definition'>* rice-sugar</div><br><div class='definition'>* sugar made from the starch of rice, potatoes, etc.</div><br><br><div class='tags'>abbr-n</div><br><div class='definition'>* amber</div><br><div class='definition'>* yellowish-brown</div><br><br>
<h1>放課</h1>|<div class='reading'>ほうか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* dismissal of class (at the end of the day)</div><br><br><div class='tags'>n</div><br><div class='definition'>* recess (at school)</div><br><div class='definition'>* break</div><br><br>
<h1>国際化</h1>|<div class='reading'>こくさいか</div><br><hr><div class='tags'>n-vs-vt-vi</div><br><div class='definition'>* internationalization</div><br><div class='definition'>* internationalisation</div><br><br>
<h1>代表</h1>|<div class='reading'>だいひょう</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* representation</div><br><div class='definition'>* representative</div><br><div class='definition'>* delegate</div><br><div class='definition'>* delegation</div><br><br><div class='tags'>n-vs-vt</div><br><div class='definition'>* exemplification</div><br><div class='definition'>* typification</div><br><div class='definition'>* being representative of</div><br><div class='definition'>* being typical of</div><br><div class='definition'>* representative example</div><br><div class='definition'>* exemplar</div><br><div class='definition'>* model</div><br><br><div class='tags'>n</div><br><div class='definition'>* leader</div><br><br><div class='tags'>abbr-n</div><br><div class='definition'>* switchboard number</div><br><div class='definition'>* main number</div><br><br>
<h1>構成</h1>|<div class='reading'>こうせい</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* composition</div><br><div class='definition'>* construction</div><br><div class='definition'>* formation</div><br><div class='definition'>* makeup</div><br><div class='definition'>* structure</div><br><div class='definition'>* organization</div><br><div class='definition'>* organisation</div><br><br>
<h1>彩り</h1>|<div class='reading'>いろどり</div><br><hr><div class='tags'>n</div><br><div class='definition'>* coloring</div><br><div class='definition'>* colouring</div><br><div class='definition'>* coloration</div><br><div class='definition'>* colouration</div><br><br><div class='tags'>n</div><br><div class='definition'>* color scheme</div><br><div class='definition'>* colour scheme</div><br><div class='definition'>* coordination (of colour)</div><br><br><div class='tags'>n</div><br><div class='definition'>* (touch of) colour</div><br><div class='definition'>* embellishment</div><br><div class='definition'>* brilliance</div><br><div class='definition'>* spice</div><br><div class='definition'>* glow</div><br><div class='definition'>* decoration</div><br><div class='definition'>* garnish</div><br><br>
<h1>焼き芋</h1>|<div class='reading'>やきいも</div><br><hr><div class='tags'>n</div><br><div class='definition'>* roasted sweet potato</div><br><div class='definition'>* baked sweet potato</div><br><br>
<h1>展開</h1>|<div class='reading'>てんかい</div><br><hr><div class='tags'>n-vs-vt-vi</div><br><div class='definition'>* development</div><br><div class='definition'>* evolution</div><br><div class='definition'>* progression</div><br><div class='definition'>* unfolding</div><br><div class='definition'>* (plot) twist</div><br><br><div class='tags'>n-vs-vt-vi</div><br><div class='definition'>* expansion</div><br><div class='definition'>* spreading out</div><br><div class='definition'>* extending</div><br><div class='definition'>* deployment</div><br><div class='definition'>* building up</div><br><br><div class='tags'>math-n-vs-vt-vi</div><br><div class='definition'>* expansion (of an algebraic expression)</div><br><br><div class='tags'>math-n-vs-vt-vi</div><br><div class='definition'>* development (of a three-dimensional shape)</div><br><br><div class='tags'>comp-n-vs-vt-vi</div><br><div class='definition'>* extraction (of compressed data)</div><br><div class='definition'>* decompression</div><br><div class='definition'>* unpacking</div><br><br>
<h1>人口</h1>|<div class='reading'>じんこう</div><br><hr><div class='tags'>n</div><br><div class='definition'>* population</div><br><br><div class='tags'>n</div><br><div class='definition'>* common talk</div><br><br>
<h1>医療</h1>|<div class='reading'>いりょう</div><br><hr><div class='tags'>n-adj-no</div><br><div class='definition'>* medical care</div><br><div class='definition'>* medical treatment</div><br><br>
<h1>文</h1>|<div class='reading'>もん</div><br><hr><div class='tags'>hist-n</div><br><div class='definition'>* mon</div><br><div class='definition'>* one-thousandth of a kan (unit of currency 1336-1870)</div><br><br><div class='tags'>n</div><br><div class='definition'>* mon</div><br><div class='definition'>* traditional unit used for shoe and sock sizes (approx. 2.4 cm)</div><br><br><div class='tags'>n</div><br><div class='definition'>* letter</div><br><div class='definition'>* character</div><br><div class='definition'>* sentence</div><br><br><div class='tags'>abbr-n</div><br><div class='definition'>* scripture</div><br><div class='definition'>* incantation</div><br><br><br><div class='reading'>あや</div><br><hr><div class='tags'>uk-n</div><br><div class='definition'>* figure</div><br><div class='definition'>* design</div><br><br><div class='tags'>n</div><br><div class='definition'>* twill weave</div><br><div class='definition'>* pattern of diagonal stripes</div><br><br><div class='tags'>uk-n</div><br><div class='definition'>* style (of writing)</div><br><div class='definition'>* figure (of speech)</div><br><br><div class='tags'>uk-n</div><br><div class='definition'>* design</div><br><div class='definition'>* plot</div><br><div class='definition'>* plan</div><br><br><div class='tags'>uk-n</div><br><div class='definition'>* minor market fluctuation</div><br><div class='definition'>* technical correction</div><br><br><div class='tags'>uk-abbr-n</div><br><div class='definition'>* cat's cradle</div><br><br><div class='tags'>uk-abbr-n</div><br><div class='definition'>* lease rod (in a loom)</div><br><br><br><div class='reading'>もん</div><br><hr><div class='tags'>n</div><br><div class='definition'>* (family) crest</div><br><div class='definition'>* coat of arms</div><br><br><div class='tags'>n</div><br><div class='definition'>* pattern</div><br><div class='definition'>* figure</div><br><br><div class='tags'>n</div><br><div class='definition'>* playing card suit (in karuta)</div><br><br><br><div class='reading'>ぶん</div><br><hr><div class='tags'>n</div><br><div class='definition'>* sentence</div><br><br><div class='tags'>n</div><br><div class='definition'>* composition</div><br><div class='definition'>* text</div><br><div class='definition'>* writings</div><br><br><div class='tags'>n</div><br><div class='definition'>* the literary arts (as opposed to the military arts)</div><br><div class='definition'>* academia</div><br><div class='definition'>* literature</div><br><br><div class='tags'>comp-n</div><br><div class='definition'>* statement</div><br><br><br><div class='reading'>ふみ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* letter</div><br><div class='definition'>* writings</div><br><br>
<h1>結末</h1>|<div class='reading'>けつまつ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* end</div><br><div class='definition'>* conclusion</div><br><br>
<h1>決まって</h1>|<div class='reading'>きまって</div><br><hr><div class='tags'>adv</div><br><div class='definition'>* always</div><br><div class='definition'>* without fail</div><br><div class='definition'>* invariably</div><br><div class='definition'>* usually</div><br><div class='definition'>* regularly</div><br><br>
<h1>食あたり</h1>|<div class='reading'>しょくあたり</div><br><hr><div class='tags'>n</div><br><div class='definition'>* food poisoning</div><br><br>
<h1>ウンチ</h1>|<div class='reading'>うんち</div><br><div class='reading'>ウンチ</div><br><hr><div class='tags'>chn-n-vs-vi</div><br><div class='definition'>* poo</div><br><div class='definition'>* poop</div><br><div class='definition'>* doo-doo</div><br><div class='definition'>* caca</div><br><div class='definition'>* whoopsie</div><br><br>
<h1>事情</h1>|<div class='reading'>じじょう</div><br><hr><div class='tags'>n</div><br><div class='definition'>* circumstances</div><br><div class='definition'>* conditions</div><br><div class='definition'>* situation</div><br><div class='definition'>* reasons</div><br><div class='definition'>* state of affairs</div><br><br>
